2026-09-07 09:31:50.460 | 1e48a690-ceb2-466e-9927-5a969921cc67 | INFO | main.py | 81 | TASK_COMPLETED | pdf_extraction
2026-09-07 09:31:50.460 | 1e48a690-ceb2-466e-9927-5a969921cc67 | INFO | main.py | 82 | RESPONSE_SENT | status_code=200
2026-09-07 09:31:52.501 | 7b6690af-edb3-4c1a-b663-88088bc25b4e | INFO | main.py | 51 | REQUEST_RECEIVED | POST /process-pdf
2026-09-07 09:31:52.501 | 7b6690af-edb3-4c1a-b663-88088bc25b4e | INFO | main.py | 52 | FILE_PATH_VALIDATED | C:\Users\hp333\PycharmProjects\PythonProject3\test_pdfs\protected_with_table.pdf
2026-09-07 09:31:52.502 | 7b6690af-edb3-4c1a-b663-88088bc25b4e | INFO | main.py | 61 | TASK_STARTED | pdf_extraction
2026-09-07 09:31:52.542 | 7b6690af-edb3-4c1a-b663-88088bc25b4e | INFO | pdf_operations.py | 47 | PDF_OPEN_SUCCESS | C:\Users\hp333\PycharmProjects\PythonProject3\test_pdfs\protected_with_table.pdf
2026-09-07 09:31:54.839 | be595525-477a-4f1f-af67-6fdcbd9f2a13 | INFO | main.py | 51 | REQUEST_RECEIVED | POST /process-pdf
2026-09-07 09:31:54.840 | be595525-477a-4f1f-af67-6fdcbd9f2a13 | INFO | main.py | 52 | FILE_PATH_VALIDATED | C:\Users\hp333\PycharmProjects\PythonProject3\test_pdfs\does_not_exist.pdf
2026-09-07 09:31:56.871 | 513798e6-eece-4bef-a7bd-a9abb02eafc4 | INFO | main.py | 51 | REQUEST_RECEIVED | POST /process-pdf
2026-09-07 09:31:56.871 | 513798e6-eece-4bef-a7bd-a9abb02eafc4 | INFO | main.py | 52 | FILE_PATH_VALIDATED | C:\Users\hp333\PycharmProjects\PythonProject3\test_pdfs\corrupted.pdf
2026-09-07 09:33:00.821 | 2f073680-fdb3-408a-8863-879ded03de3b | INFO | main.py | 51 | REQUEST_RECEIVED | POST /process-pdf
2026-09-07 09:33:00.822 | 2f073680-fdb3-408a-8863-879ded03de3b | INFO | main.py | 52 | FILE_PATH_VALIDATED | C:\Users\hp333\PycharmProjects\PythonProject3\test_pdfs\simple_no_password.pdf
2026-09-07 09:33:00.822 | 2f073680-fdb3-408a-8863-879ded03de3b | INFO | main.py | 61 | TASK_STARTED | pdf_extraction
2026-09-07 09:33:00.823 | 2f073680-fdb3-408a-8863-879ded03de3b | INFO | pdf_operations.py | 47 | PDF_OPEN_SUCCESS | C:\Users\hp333\PycharmProjects\PythonProject3\test_pdfs\simple_no_password.pdf
2026-09-07 09:33:02.152 | 2f073680-fdb3-408a-8863-879ded03de3b | INFO | main.py | 81 | TASK_COMPLETED | pdf_extraction
2026-09-07 09:33:02.152 | 2f073680-fdb3-408a-8863-879ded03de3b | INFO | main.py | 82 | RESPONSE_SENT | status_code=200
2026-09-07 09:33:04.212 | 4fc34d5d-576c-4b37-a53d-adc52f86bce8 | INFO | main.py | 51 | REQUEST_RECEIVED | POST /process-pdf
2026-09-07 09:33:04.213 | 4fc34d5d-576c-4b37-a53d-adc52f86bce8 | INFO | main.py | 52 | FILE_PATH_VALIDATED | C:\Users\hp333\PycharmProjects\PythonProject3\test_pdfs\protected.pdf
2026-09-07 09:33:04.213 | 4fc34d5d-576c-4b37-a53d-adc52f86bce8 | INFO | main.py | 61 | TASK_STARTED | pdf_extraction
2026-09-07 09:33:06.275 | 8b9ddb0f-08b5-4a26-8d77-59b0ebf06640 | INFO | main.py | 51 | REQUEST_RECEIVED | POST /process-pdf
